Date,Race,Age,Gender,JailId,Population_Interpolated,Admissions_Interpolated,Releases_Interpolated,ScrapeMissing
2021-08-29 00:00:00+00:00,All,All,All,MO-Cooper,45.75,3.25,1.5,0
2021-08-29 00:00:00+00:00,All,All,All,MO-Jackson,1506.0,34.0,36.5,0
2021-08-29 00:00:00+00:00,All,All,All,MS-DeSoto,422.0,19.5,16.75,0
2021-08-29 00:00:00+00:00,All,All,All,MS-Hancock,206.5,6.75,7.25,0
2021-08-29 00:00:00+00:00,All,All,All,MS-Marion,265.0,6.25,5.0,0
2021-08-29 00:00:00+00:00,All,All,All,MS-Yazoo,330.25,1.0,0.75,0
2021-08-29 00:00:00+00:00,All,All,All,NC-Buncombe,449.75,14.75,18.5,0
2021-08-29 00:00:00+00:00,All,All,All,NC-Burke,124.25,4.0,7.25,0
2021-08-29 00:00:00+00:00,All,All,All,NC-Cabarrus,244.5,8.75,6.25,0
2021-08-29 00:00:00+00:00,All,All,All,NC-Cherokee,117.5,1.5,4.75,0
2021-08-29 00:00:00+00:00,All,All,All,NC-Cumberland,486.25,19.75,18.25,0
2021-08-29 00:00:00+00:00,All,All,All,NC-Forsyth,637.25,15.5,16.0,0
2021-08-29 00:00:00+00:00,All,All,All,NC-Moore,167.25,5.5,8.0,0
2021-08-29 00:00:00+00:00,All,All,All,NC-Stanly,171.25,5.0,5.25,0
2021-08-29 00:00:00+00:00,All,All,All,NC-Union,246.75,12.5,10.75,0
2021-08-29 00:00:00+00:00,All,All,All,NJ-Bergen,397.25,8.75,6.5,0
2021-08-29 00:00:00+00:00,All,All,All,NJ-Ocean,290.5,9.0,6.75,0
2021-08-29 00:00:00+00:00,All,All,All,NM-Dona_Ana,432.5,21.0,15.75,0
2021-08-29 00:00:00+00:00,All,All,All,NY-Niagara,374.25,4.75,6.5,0
2021-08-29 00:00:00+00:00,All,All,All,OH-Greene,243.5,7.0,6.25,0
2021-08-29 00:00:00+00:00,All,All,All,OH-Miami,189.75,3.5,5.75,0
2021-08-29 00:00:00+00:00,All,All,All,OK-Carter,18.0,4.25,0.0,0
2021-08-29 00:00:00+00:00,All,All,All,OK-Comanche,360.5,5.0,5.5,0
2021-08-29 00:00:00+00:00,All,All,All,OR-Benton,55.0,1.5,1.0,0
2021-08-29 00:00:00+00:00,All,All,All,OR-Jackson,264.0,7.0,7.25,0
2021-08-29 00:00:00+00:00,All,All,All,OR-Klamath,108.75,4.25,3.0,0
2021-08-29 00:00:00+00:00,All,All,All,OR-Marion,375.25,15.5,13.0,0
2021-08-29 00:00:00+00:00,All,All,All,OR-Umatilla,167.5,10.25,6.5,0
2021-08-29 00:00:00+00:00,All,All,All,PA-Lancaster,753.25,12.0,11.75,0
2021-08-29 00:00:00+00:00,All,All,All,SC-Cherokee,374.75,11.25,9.0,0
2021-08-29 00:00:00+00:00,All,All,All,SC-Lexington,517.75,15.75,13.5,0
2021-08-29 00:00:00+00:00,All,All,All,TN-Macon,304.25,5.25,6.5,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Coryell,202.5,4.0,2.5,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Galveston,2080.0,59.0,53.0,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Jim_Wells,58.0,4.0,3.5,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Randall,387.0,0.0,0.0,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Smith,1050.5,14.75,14.0,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Tom_Green,536.0,12.5,10.0,0
2021-08-29 00:00:00+00:00,All,All,All,VA-Blue_Ridge_Amherst,524.25,3.5,3.0,0
2021-08-29 00:00:00+00:00,All,All,All,VA-Blue_Ridge_Bedford,87.0,4.5,1.75,0
2021-08-29 00:00:00+00:00,All,All,All,VA-Blue_Ridge_Lynchburg,332.5,7.0,8.25,0
2021-08-29 00:00:00+00:00,All,All,All,VA-Chesapeake,1928.5,34.0,23.5,0
